Question,Answer
What does DNA stand for?,Deoxyribonucleic acid
How many bones are in the human body?,206
The concept of gravity was discovered by which famous physicist?,Sir Isaac Newton
What is the hardest natural substance on Earth?,Diamond
Which is the main gas that makes up the Earth's atmosphere?,Nitrogen
Humans and chimpanzees share roughly how much DNA?,98 per cent
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
"Roughly how long does it take for the sun's light to reach Earth - 8 minutes, 8 hours or 8 days?",8 minutes
Which famous British physicist wrote A Brief History of Time?,Stephen Hawking
At what temperature are Celsius and Fahrenheit equal?,-40
What modern-day country was Marie Curie born in?,Poland
What is the biggest planet in our solar system?,Jupiter
What name is given for the number of protons found in the nucleus of an atom?,Atomic number
How many vertebrae does the average human possess?,33
What was the name of the first man-made satellite launched by the Soviet Union in 1957?,Sputnik 1
Which oath of ethics taken by doctors is named after an Ancient Greek physician?,Hippocratic Oath
What is a material that will not carry an electrical charge called?,Insulator
Which Apollo moon mission was the first to carry a lunar rover?,Apollo 15
How many teeth does an adult human have?,32
What is the study of mushrooms called?,Mycology
How many brains and how many hearts does an octopus have?,"9 brains, 3 hearts"
What is the only letter not to appear on the periodic table?,J
What is the fastest land animal in the world?,Cheetah
What is the only even prime number?,2
What do the letters in the word laser stand for?,Light Amplification by Stimulated Emission of Radiation
What is the perimeter of a circle called?,The circumference
Sound travels faster in air than in water: true or false?,FALSE
Which of the world's oceans in the deepest?,The Pacific
What was the name of the first artificial satellite to enter space?,Sputnik 1
Who is credited with the creation of the World Wide Web?,Tim Berners-Lee
Lightning hotter than the surface of the sun: true or false?,TRUE
Where in the human body can the smallest bone be found?,The ear
How many bones do sharks have?,Zero
What is sphenopalatine ganglioneuralgia the scientific term for?,Brain freeze
What does USB stand for?,Universal Serial Bus
What is the largest desert on Earth?,Antartica
In which year were the first collisions achieved in the Large Hadron Collider?,2010
What is the heaviest organ in the human body?,The liver
What is the rarest blood type in humans?,AB Negative
In which year was Pluto reclassified as a Dwarf Planet?,2006
What is the biggest animal in the world?,The Antarctic blue whale
What is the only active volcano on mainland Europe called?,Mount Vesuvius
What is desquamation the scientific term for?,Peeling skin
How many days on Earth does it take for Venus to rotate once on its axis?,243
How many states of matter are there?,"4 - solid, liquid, gas and plasma"
What does a Geiger Counter measure?,Radiation
What are natural satellites colloquially known as?,Moons
In which year did the Apollo 13 space mission take place?,1970
What metal is the best conductor of electricity?,Silver
What was the first vaccine to be developed against a contagious disease?,The smallpox vaccine